"Energy"	"Total"
-3.334734331145965e-01	0.000000000000000e+00
-3.334734331145965e-01	2.799766788484645e-01
-3.272692886576865e-01	1.013274581462217e+00
-3.252055487167396e-01	1.700824389771486e+00
-3.170055932403775e-01	2.306445407392575e+00
-3.108890259897298e-01	2.770530896167228e+00
-3.088858542904127e-01	3.066362665535672e+00
-3.007502714701602e-01	3.459453081614197e+00
-2.948247056271832e-01	3.859360560897976e+00
-2.927863777275685e-01	4.128321067318483e+00
-2.849406124271636e-01	4.390301249400760e+00
-2.791843655293910e-01	4.629665596266452e+00
-2.789114749697566e-01	4.936838554653124e+00
-2.693783589915794e-01	5.255299172209520e+00
-2.693767418539995e-01	5.255370144684090e+00
-2.636219075971688e-01	5.568271036337613e+00
-2.636203080997891e-01	5.568372194516131e+00
-2.619512621460688e-01	5.688723026635225e+00
-2.619499397572402e-01	5.688971187986072e+00
-2.613839739338227e-01	5.860774754863641e+00
-2.539277289665343e-01	6.096608430793539e+00
-2.539263040905269e-01	6.096671158317425e+00
-2.490515522116636e-01	6.371712154036027e+00
-2.490500685929814e-01	6.371837371102022e+00
-2.466851079417605e-01	6.637551446755388e+00
-2.466832013353380e-01	6.637705742695200e+00
-2.404798573656280e-01	6.944968728965698e+00
-2.343432980715184e-01	7.229070144240406e+00
-2.343396726535359e-01	7.229515358620457e+00
-2.334460027588813e-01	7.407875671001750e+00
-2.334444042722786e-01	7.408169521388649e+00
-2.322830384910641e-01	7.602867286284386e+00
-2.322792789614387e-01	7.603263642281152e+00
-2.258375040707387e-01	7.882738891184331e+00
-2.258340449128714e-01	7.882946068763526e+00
-2.217130556577251e-01	8.197787474008150e+00
-2.217102990335005e-01	8.198201471392668e+00
-2.197691438522575e-01	8.632755060404408e+00
-2.197654501610984e-01	8.633248209160559e+00
-2.103191108871673e-01	9.041974992478856e+00
-2.080192992830922e-01	9.422273793316831e+00
-2.080161566505218e-01	9.423289307300642e+00
-2.075682931636395e-01	9.638453383893808e+00
-2.075638586264747e-01	9.639698199974200e+00
